x,y,Category
4,52332,Dispensable
6,24117,Core
6,26010,Core
7,100455,Total
8,103462,Total
5,26491,Core
2,28182,Dispensable
8,104355,Total
8,80205,Dispensable
8,80227,Dispensable
11,21945,Core
8,82344,Dispensable
8,105184,Total
8,23408,Core
5,86809,Total
7,24481,Core
7,100581,Total
9,23497,Core
8,23248,Core
7,74445,Dispensable
5,88741,Total
4,28546,Core
5,84339,Total
5,61915,Dispensable
4,79944,Total
5,61937,Dispensable
8,82013,Dispensable
3,27601,Core
9,109537,Total
11,118515,Total
5,59079,Dispensable
5,87290,Total
6,68430,Dispensable
6,66888,Dispensable
8,82228,Dispensable
5,88446,Total
7,25782,Core
7,74781,Dispensable
5,87164,Total
5,87917,Total
7,74687,Dispensable
5,26895,Core
9,109993,Total
5,62061,Dispensable
6,68436,Dispensable
5,88915,Total
7,96921,Total
9,85156,Dispensable
6,24433,Core
8,80890,Dispensable
8,104529,Total
2,34392,Core
7,98922,Total
7,101102,Total
6,95031,Total
9,22882,Core
9,85183,Dispensable
4,81233,Total
7,24722,Core
5,25560,Core
9,23562,Core
8,105988,Total
11,116603,Total
8,24777,Core
8,80581,Dispensable
10,112930,Total
9,108360,Total
6,91596,Total
8,104618,Total
4,52476,Dispensable
7,25748,Core
8,24163,Core
9,88404,Dispensable
8,105932,Total
7,74996,Dispensable
8,82459,Dispensable
10,92331,Dispensable
5,25488,Core
9,110352,Total
5,88797,Total
11,96805,Dispensable
4,28020,Core
6,25921,Core
7,74412,Dispensable
7,99557,Total
6,66662,Dispensable
7,23591,Core
6,91156,Total
5,86761,Total
9,84702,Dispensable
3,29849,Core
6,95331,Total
5,86724,Total
4,78172,Total
6,24086,Core
6,24925,Core
6,68518,Dispensable
10,22546,Core
6,68529,Dispensable
5,27171,Core
8,24743,Core
4,54371,Dispensable
3,70240,Total
7,99100,Total
7,74892,Dispensable
6,24993,Core
5,25115,Core
5,24873,Core
8,22861,Core
4,80340,Total
8,82597,Dispensable
5,85721,Total
5,60226,Dispensable
6,91050,Total
5,62176,Dispensable
6,66993,Dispensable
5,62270,Dispensable
10,92320,Dispensable
6,25418,Core
8,82553,Dispensable
6,68463,Dispensable
7,76268,Dispensable
6,68469,Dispensable
3,40620,Dispensable
4,28142,Core
6,68998,Dispensable
7,74654,Dispensable
6,25680,Core
7,97382,Total
9,22807,Core
7,23832,Core
9,109782,Total
9,85189,Dispensable
7,98664,Total
3,27353,Core
6,68507,Dispensable
6,94012,Total
6,70042,Dispensable
4,52034,Dispensable
5,87780,Total
6,68734,Dispensable
7,100120,Total
5,61617,Dispensable
7,76539,Dispensable
7,99714,Total
8,105674,Total
6,68121,Dispensable
9,86630,Dispensable
7,74594,Dispensable
3,27536,Core
6,24620,Core
6,92578,Total
